subject_id,subject_name,professor,user_major,wishlist_actions,timetable_actions,unique_users
10821,복소함수및벡터,구경헌,전자공학부,5,3,6
10826,스마트시스템입문,조정완,전자공학부,3,5,6
10827,스마트시스템입문,김영현,전자공학과,3,3,6
10833,전자기학,전석희,전자공학부,1,5,6
10834,전자기학,전석희,전자공학과,3,4,6
10837,프로그래밍언어,최욱,전자공학과,4,2,6
10843,전자회로,유종근,전자공학부,4,3,6
10844,전자회로,유종근,전자공학과,4,3,6
10855,캡스턴디자인1,서정현,전자공학과,2,4,6
10860,아날로그집적회로,송준영,전자공학과,2,5,6
10867,컴퓨터프로그래밍,강동우,전기공학과,2,6,6
10879,디지털공학개론,최현규,전기공학과,3,5,6
10900,캡스톤설계(1),이동길,전기공학과,3,5,6
10903,현대제어,이동길,전기공학과,2,5,6
10913,대학화학,오세영,기계공학과,2,4,6
10915,대학화학,오세영,기계공학과,4,3,6
10919,물리(1),김말진,기계공학과,3,4,6
10930,기계기초프로그래밍,김승권,기계공학과,3,4,6
10935,고체역학1,구상모,기계공학과,2,5,6
10964,2차전지공학,신성수,기계공학과,1,5,6
11002,e-biz개론,황낙건,무역학부,2,4,6
11011,경제학원리(1),주현,무역학부,2,5,6
11013,경제학원리(1),김순홍,무역학부,4,3,6
11041,글로벌비즈니스캡스톤디자인1,이종화,무역학부,1,5,6
11049,기후경제학,강희찬,경제학과,1,5,6
11051,경제학원리(1),이명헌,경제학과,5,2,6
11072,거시경제학특강,이원경,경제학과,1,5,6
11106,인적자원개발론,김태성,창의인재개발학과,3,6,6
11111,심리측정및평가,박선영,창의인재개발학과,1,6,6
11114,전략적HRD세미나,김진용,창의인재개발학과,0,6,6
11139,휴먼커뮤니케이션입문,김은이,미디어커뮤니케이션학과,1,5,6
11164,사회문제론,장애지,사회복지학과,2,5,6
11165,사회복지와인권,권정호,사회복지학과,2,5,6
11169,사회서비스개론,박영민,사회복지학과,2,5,6
11174,청소년복지론,윤용희,사회복지학과,3,5,6
11192,생물해양학 및 실험,이호준,해양학과,1,5,6
11197,해수순환의이해,김일남,해양학과,1,5,6
11223,패션디자인스튜디오I,이현승,패션산업학과,2,6,6
11232,일반물리학(1),미배정,화학과,1,6,6
11243,일반화학실험(1),강동구,화학과,1,5,6
11253,생화학(1),강동구,화학과,0,6,6
11261,대학수학(1),이미혜,물리학과,2,6,6
11266,일반생물학(1),이탁기,물리학과,2,5,6
11274,역학실험,한강희,물리학과,2,4,6
11279,물리프로그래밍,엇후 도르츠,물리학과,1,6,6
11310,대수적조합론,장일승,수학과,1,6,6
11312,위상수학및응용,배영진,수학과,1,6,6
11318,중국사개론,이용운,중어중국학과,3,5,6
11319,중국사개론,이용운,중어중국학과,4,6,6
11323,중국어듣기와말하기(1),청웨이웨이,중어중국학과,0,6,6
11324,집중중국어실습(1),변다은,중어중국학과,1,6,6
11329,중국학강독,조봉래,중어중국학과,3,5,6
11334,고급한어강독,조혜영,중어중국학과,1,5,6
11370,프랑스어회화(1),파비앙,불어불문학과,1,6,6
11374,프랑스어문법과 작문1,이현주,불어불문학과,1,6,6
11399,고전과삶,김정경,국어국문학과,3,4,6
11404,한국문학의이해,정우경,국어국문학과,3,4,6
11415,현대문학사1,강용훈,국어국문학과,2,5,6
11424,시창작연습,정우신,국어국문학과,0,6,6
11572,Academic English,김상조,세무회계학과,2,6,6
11621,AI시대의글쓰기이론과실제,최혜림,문헌정보학과,2,5,6
11665,AI시대의글쓰기이론과실제,최혜림,디자인학부,3,6,6
11767,AI사고와데이터리터러시,이슬비,도시건축학부,2,5,6
11789,대학영어회화1,데릭 스톤,국어국문학과,1,6,6
11918,대학영어회화1,"티모시 톰
슨",신소재공학과,0,6,6
11938,대학영어회화1,코리 로슨,컴퓨터공학부,1,6,6
11942,대학영어회화1,데릭 스톤,정보통신공학과,2,4,6
11944,대학영어회화1,데이비드,정보통신공학과,2,5,6
11988,대학영어회화1,데릭 스톤,디자인학부,3,4,6
12012,대학영어회화1,데이비드,스포츠과학부,0,6,6
9048,(HUSS서강대)포용사회주제세미나,미배정,컴퓨터공학부,5,2,5
9085,국제복합운송론,장진열,무역학부,1,4,5
9126,교육평가,김성연,수학교육과,1,5,5
9155,MBTI로찾아가는나의책,박상원,기계공학과,2,4,5
9155,MBTI로찾아가는나의책,박상원,임베디드시스템공학과,2,4,5
9198,심리학의이해,박준성,생명공학전공,3,2,5
9200,심리학의이해,박준성,컴퓨터공학부,3,4,5
9201,심리학의이해,서신화,기계공학과,2,3,5
9201,심리학의이해,서신화,영어영문학과,3,2,5
9206,영화속바이러스의이해,예정용,경영학부,2,3,5
9206,영화속바이러스의이해,예정용,디자인학부,5,1,5
9206,영화속바이러스의이해,예정용,무역학부,5,2,5
9207,영화속으로들어간클래식음악,김상림,법학부,0,5,5
9214,일본어1,전혜수,임베디드시스템공학과,1,4,5
9226,차라투스트라춤추는별이되어라,송대현,문헌정보학과,1,4,5
9234,한국미술과문화,구진경,생명공학전공,0,5,5
9246,3D모션캡쳐와관련기술의적용,교육혁신본부,디자인학부,2,4,5
9258,K컬처와한국사상,교육혁신본부,정보통신공학과,1,4,5
9276,결혼과가족,류민영,세무회계학과,2,3,5
9288,기업가정신,창업지원단,디자인학부,1,4,5
9288,기업가정신,창업지원단,컴퓨터공학부,1,4,5
9300,대중매체속바이오테크놀로지,예정용,동북아국제통상전공,1,5,5
9306,디지털미디어로보는무역과통상,고보민,영어영문학과,3,5,5
9319,물류의이해,김우중,경제학과,2,4,5
9319,물류의이해,김우중,컴퓨터공학부,4,4,5
9321,물의위기와환경,이민수,중어중국학과,1,5,5
9325,미생물학입문,교육혁신본부,경영학부,0,5,5
9337,삶과천문학,김민수,무역학부,1,4,5
9345,성격과인간심리의이해,서신화,문헌정보학과,3,2,5
9345,성격과인간심리의이해,서신화,법학부,2,4,5
9355,스토리텔링뮤직,김규,생명공학전공,2,3,5
9367,연극예술과문화생활,박근수,경영학부,1,4,5
9374,영화로배우는독성학개론,예정용,경제학과,2,3,5
9375,영화예술과문화생활,박근수,경영학부,2,4,5
9376,예술과친구하기,이계원,무역학부,3,2,5
9379,우리가살고있는신비한지구,최윤성,임베디드시스템공학과,1,4,5
9383,음악과스토리텔링으로읽는글로벌KCulture,김규,디자인학부,3,4,5
9436,한반도와유라시아,조형진,경영학부,2,3,5
9674,법학개론,노영돈,법학부,1,5,5
9729,화물운송론,이향숙,동북아국제통상전공,2,3,5
9732,해상운송론,이해찬,무역학부,0,5,5
9734,계량물류분석론,송상화,무역학부,2,5,5
9751,미중화폐금융론,김민수,동북아국제통상전공,1,5,5
9759,중급일본어회화,기타우치 다이토,동북아국제통상전공,1,5,5
9784,일반미생물학,김준섭,나노바이오공학전공,0,5,5
9786,나노바이오실험1,이승호,나노바이오공학전공,2,4,5
9790,바이오전자공학,미배정,나노바이오공학전공,1,4,5
9799,분자생물학,장성호,생명공학전공,0,5,5
9800,생명공학세미나 1,이동택,생명공학전공,0,5,5
9801,생명공학실험 2,미배정,생명공학전공,0,5,5
9802,발효공학,서명지,생명공학전공,0,5,5
9804,의학공학,박경민,생명공학전공,0,5,5
9816,일반생물학실험(1),장성호,생명공학전공,1,4,5
9824,자기설계세미나 I,장성호,생명공학전공,1,4,5
9835,미생물학,예정용,분자의생명전공,1,5,5
9838,고급분자생물학,강하라,분자의생명전공,1,5,5
9862,수리생물학입문,이종구,생명과학전공,3,4,5
9868,물리학,유상구,분자의생명전공,2,3,5
9869,물리학,유상구,분자의생명전공,1,4,5
9880,화학,권태현,생명과학전공,1,5,5
9900,건축구조의 적용,김민수,도시건축학전공,1,4,5
9926,건축실시설계,박지훈,건축공학전공,1,5,5
9942,자기설계세미나 I,이태영,도시건축학부,3,3,5
9948,건축개론,김한규,도시건축학부,2,5,5
9964,스마트도시교통론,석종수,도시공학과,1,5,5
9996,대학수학(1),손홍민,건설환경공학전공,1,4,5
10050,도시공간과사회,미배정,도시행정학과,1,4,5
10141,미분방정식,이동선,수학교육과,0,5,5
10144,복소해석학1,오혜영,수학교육과,1,5,5
10145,위상수학1,정찬석,수학교육과,1,5,5
10146,현대대수학1,장규환,수학교육과,1,5,5
10159,일본어강독,최현필,일어교육과,0,5,5
10215,운동과스포츠생리학,황문현,운동건강학부,1,5,5
10219,해양훈련,전재희,운동건강학부,1,4,5
10296,해양스포츠,김민철,스포츠과학부,1,5,5
10313,기능재활운동2,전경규,스포츠과학부,1,5,5
10362,자기설계세미나 I,김시연,디자인학부,2,3,5
10371,영상과디자인,유동현,디자인학부,2,4,5
10374,입체디자인,박채은,디자인학부,4,2,5
10393,광고디자인스튜디오,이상혁,디자인학부,3,4,5
10398,색채와디지털이미지,김지룡,디자인학부,3,5,5
10410,브랜드디자인프로젝트,김시연,디자인학부,3,5,5
10412,시각디자인프로젝트,전혜연,디자인학부,1,5,5
10417,기초서양화,이계원,조형예술학부,2,4,5
10470,법인세법(2),한홍열,세무회계학과,2,4,5
10478,데이터분석실습1,전용호,경영학부,2,4,5
10491,회계원리,이창현,경영학부,4,1,5
10503,경영과학,이상훈,경영학부,1,4,5
10534,투자론,김선호,경영학부,2,3,5
10544,C언어프로그래밍(1),원경호,임베디드시스템공학과,0,5,5
10558,딥러닝알고리즘,강우철,임베디드시스템공학과,3,2,5
10567,프로그래밍(1),조원서,정보통신공학과,3,2,5
10570,이산수학론,우요섭,정보통신공학과,0,5,5
10576,ICT공학수학,강승택,정보통신공학과,2,3,5
10592,통신공학이론,노송,정보통신공학과,4,2,5
10602,전자회로,강승택,정보통신공학과,1,4,5
10606,분산클라우드컴퓨팅,김영필,정보통신공학과,0,5,5
10627,프로그래밍입문,한재현,컴퓨터공학부,2,3,5
