day_of_week,start_time,end_time,subject_count,wishlist_count,wishlist_user_count,timetable_count,timetable_user_count,total_saved_actions
목,17.0,11.0,1,0.0,0.0,1.0,1.0,1.0
금,4.0,8.0,1,0.0,0.0,1.0,1.0,1.0
금,16.0,19.0,1,0.0,0.0,1.0,1.0,1.0
월,1.0,9.0,2,0.0,0.0,0.0,0.0,0.0
화,1.0,9.0,2,0.0,0.0,0.0,0.0,0.0
수,1.0,9.0,2,0.0,0.0,0.0,0.0,0.0
목,1.0,9.0,2,0.0,0.0,0.0,0.0,0.0
금,1.0,9.0,2,0.0,0.0,0.0,0.0,0.0
월,17.0,12.0,1,0.0,0.0,0.0,0.0,0.0
월,18.0,13.0,1,0.0,0.0,0.0,0.0,0.0
화,18.0,13.0,1,0.0,0.0,0.0,0.0,0.0
수,8.0,11.0,1,0.0,0.0,0.0,0.0,0.0
수,11.5,13.0,1,0.0,0.0,0.0,0.0,0.0
목,10.0,14.0,1,0.0,0.0,0.0,0.0,0.0
목,11.0,14.0,1,0.0,0.0,0.0,0.0,0.0
목,11.5,13.0,1,0.0,0.0,0.0,0.0,0.0
목,12.0,14.0,1,0.0,0.0,0.0,0.0,0.0
금,10.0,14.0,1,0.0,0.0,0.0,0.0,0.0
금,18.0,13.0,1,0.0,0.0,0.0,0.0,0.0
토,2.0,4.0,1,0.0,0.0,0.0,0.0,0.0
