subject_id,subject_name,professor,user_grade,wishlist_actions,timetable_actions,unique_users
10825,스마트시스템입문,조정완,2,4,6,10
10827,스마트시스템입문,김영현,2,6,4,10
10832,디지털실험,양운근,2,4,7,10
10834,전자기학,전석희,2,5,7,10
10842,전자회로,유종근,3,8,4,10
10844,전자회로,유종근,3,5,6,10
10846,전자회로실험,이병진,3,8,3,10
10985,소비자와시장,박지우,1,2,9,10
10987,고객서비스,이명현,1,2,9,10
11024,물류개론,안영효,2,4,6,10
11024,물류개론,안영효,3,2,8,10
11055,경제통계기초,김선진,2,4,7,10
11070,농업과푸드시스템의경제학,이명헌,3,1,9,10
11097,공공정책의이해,김국진,3,2,9,10
11131,자료분류법,김혜경,2,4,9,10
11148,광고입문,박진성,2,2,10,10
11151,영화의이해,이동후,2,1,10,10
11276,일반역학(1),김병훈,2,1,10,10
11284,양자역학(1),이기훈,3,1,10,10
11305,현대대수학,장일승,2,1,10,10
11317,현대중국개론,권기영,1,4,10,10
11328,중국전통사상,조봉래,3,4,9,10
12006,대학영어회화1,캘럼 맥코,2,1,9,10
12119,대학영어회화1,Cruz Jr2Fidel,2,0,10,10
12150,마음을읽어주는미술치료,OCU,2,0,10,10
12150,마음을읽어주는미술치료,OCU,4,1,9,10
9098,성인학습및상담론,박선영,4,4,7,9
9174,기초스페인어,문성주,3,7,4,9
9189,미학의이해,윤영규,2,4,6,9
9193,서양의역사와문화,안창모,2,7,3,9
9214,일본어1,전혜수,2,3,7,9
9226,차라투스트라춤추는별이되어라,송대현,1,6,5,9
9231,취창업진로세미나,취업경력개발원,3,2,7,9
9278,경이로운생명이야기,윤영준,2,3,6,9
9279,경이로운생명이야기,윤영준,2,3,6,9
9313,문학의숲에서치유를만나다,전미정,2,6,3,9
9320,물의위기와환경,이민수,2,6,4,9
9326,미술관여행,김상림,2,5,5,9
9338,생활법률,이윤희,2,5,4,9
9377,요가와명상,하지혜,2,2,7,9
9434,한국전근대사의이해,신유아,1,4,6,9
9693,국제기구법,장석영,4,3,8,9
9834,인체생리학,김재근,2,0,9,9
9980,환경통계및자료해석,이희관,2,4,8,9
10022,환경실험,이주경,4,1,8,9
10220,기능해부학,홍성현,2,3,9,9
10367,디자인 Thinking,이서진,1,6,7,9
10384,디자인구현프로그래밍,박동명,2,3,7,9
10387,모션일러스트레이션,한혜진,2,2,8,9
10467,회계원리연습,진덕수,2,0,9,9
10475,데이터과학개론,박준성,1,2,9,9
10479,데이터애널리틱스,전용호,2,1,9,9
10510,마케팅원론,허승,2,3,7,9
10516,전략경영,박현준,3,5,6,9
10517,전략경영,박현준,4,1,8,9
10519,SCM,김태호,3,2,8,9
10520,광고론,윤태웅,3,4,6,9
10559,딥러닝알고리즘,강우철,3,3,8,9
10566,프로그래밍(1),김도엽,1,4,9,9
10586,전자계산기구조,조원서,2,4,7,9
10589,확률이론,조경훈,2,1,9,9
10598,선형대수론,노송,3,4,9,9
10666,네트워크보안,이승수,4,3,9,9
10679,전기회로실험,우현명,2,1,8,9
10693,확률및통계,우현명,3,2,9,9
10707,유체역학,박민범,2,2,8,9
10715,고분자공학,박영돈,3,2,9,9
10736,재료역학,최재헌,2,1,9,9
10737,열역학,이민철,2,3,9,9
10784,금융공학개론,정지혁,3,5,8,9
10785,데이터마이닝,류도현,3,4,8,9
