subject_id,course_code,semester,active,subject_name,professor,department,grade,subject_type,class_method,credits,is_night,wishlist_count,wishlist_user_count,required_count,avg_wishlist_priority,timetable_count,timetable_user_count,combined_user_count,total_saved_actions,first_wishlist_at,last_wishlist_at,first_timetable_at,last_timetable_at
11359,,,True,일본어통번역연습1,이선화,일본지역문화학과,4.0,전심,OFFLINE,3,False,0,0,0,,1,1,1,1,,,2026-02-02 08:00:38.623483,2026-02-02 08:00:38.623483
11360,,,True,일본지역문화기획캡스톤디자인,이호상,일본지역문화학과,4.0,전심,OFFLINE,3,False,0,0,0,,1,1,1,1,,,2026-02-02 13:49:25.618044,2026-02-02 13:49:25.618044
11365,,,True,자기설계세미나 I,도윤정,불어불문학과,1.0,전기,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-02 12:05:05.659610,2026-02-02 12:05:05.659610
11366,,,True,자기설계세미나 I,박정준,불어불문학과,1.0,전기,OFFLINE,1,False,1,1,1,3.0,0,0,1,1,2026-02-05 07:06:48.630397,2026-02-05 07:06:48.630397,,
11373,,,True,프랑스문학강독1,도윤정,불어불문학과,2.0,전심,OFFLINE,3,False,1,1,0,3.0,0,0,1,1,2026-02-02 17:21:09.180822,2026-02-02 17:21:09.180822,,
11384,,,True,자기설계세미나 I,이원경,독어독문학과,1.0,전기,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-21 11:57:07.234745,2026-02-21 11:57:07.234745
11390,,,True,현대독일사회의이해,명정,독어독문학과,1.0,전심,OFFLINE,3,False,1,1,0,3.0,0,0,1,1,2026-02-02 13:45:47.160749,2026-02-02 13:45:47.160749,,
11393,,,True,실무영작문,알라나 커밍스,영어영문학과,4.0,전심,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-02 13:14:25.386379,2026-02-02 13:14:25.386379
11403,,,True,자기설계세미나 I,전병준,국어국문학과,1.0,전기,OFFLINE,1,False,1,1,0,3.0,0,0,1,1,2026-02-04 03:00:05.983676,2026-02-04 03:00:05.983676,,
11437,,,True,한국어문법교육론,유민애,국어국문학과,3.0,전심,OFFLINE,3,False,0,0,0,,1,1,1,1,,,2026-02-02 09:36:28.014248,2026-02-02 09:36:28.014248
11439,,,True,한국어의어문규범,전진호,국어국문학과,3.0,전심,OFFLINE,3,False,0,0,0,,1,1,1,1,,,2026-02-02 09:53:39.800327,2026-02-02 09:53:39.800327
11442,,,True,현대시론,전병준,국어국문학과,3.0,전심,OFFLINE,3,False,0,0,0,,1,1,1,1,,,2026-02-02 09:36:42.142020,2026-02-02 09:36:42.142020
11445,,,True,한국어와사회,안희제,국어국문학과,4.0,전심,OFFLINE,3,False,0,0,0,,1,1,1,1,,,2026-02-05 05:00:42.564201,2026-02-05 05:00:42.564201
11461,,,True,영어회화(1),알라나 커밍스,영어영문학과,1.0,전핵,OFFLINE,1,False,0,0,0,,1,1,1,1,,,2026-02-07 08:08:40.798043,2026-02-07 08:08:40.798043
11490,,,True,Academic English,안수진,수학과,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-02 07:28:20.719714,2026-02-02 07:28:20.719714,,
11492,,,True,Academic English,안수진,화학과,1.0,기교,OFFLINE,2,False,1,1,0,3.0,0,0,1,1,2026-02-03 09:40:52.321654,2026-02-03 09:40:52.321654,,
11496,,,True,Academic English,남정현,수학과,1.0,기교,OFFLINE,2,False,1,1,1,3.0,0,0,1,1,2026-02-03 14:16:00.289055,2026-02-03 14:16:00.289055,,
11497,,,True,Academic English,남정현,물리학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-12 07:07:48.151299,2026-02-12 07:07:48.151299
11499,,,True,Academic English,김연정,해양학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-03 09:38:10.077849,2026-02-03 09:38:10.077849
11502,,,True,Academic English,김정옥,해양학과,1.0,기교,OFFLINE,2,False,0,0,0,,1,1,1,1,,,2026-02-02 14:51:12.762640,2026-02-02 14:51:12.762640
