subject_id,course_code,semester,active,subject_name,professor,department,grade,subject_type,class_method,credits,is_night,schedule_count,schedule_text
9198,,,True,심리학의이해,박준성,교양,,핵교,OFFLINE,3,True,1,목 10-13
9199,,,True,심리학의이해,서신화,교양,,핵교,OFFLINE,3,False,1,화 7-10
9200,,,True,심리학의이해,박준성,교양,,핵교,OFFLINE,3,False,1,금 6-9
9201,,,True,심리학의이해,서신화,교양,,핵교,OFFLINE,3,False,1,월 4-7
9202,,,True,심리학의이해,서신화,교양,,핵교,OFFLINE,3,True,1,화 10-13
9203,,,True,알기쉬운통계원리,최원,교양,,핵교,ONLINE,3,False,0,
9204,,,True,열린사회와다문화,정선주,교양,,핵교,OFFLINE,3,False,1,수 1-4
9205,,,True,열린사회와다문화,정선주,교양,,핵교,OFFLINE,3,False,1,수 4-7
9206,,,True,영화속바이러스의이해,예정용,교양,,핵교,OFFLINE,3,False,1,화 1-4
9207,,,True,영화속으로들어간클래식음악,김상림,교양,,핵교,ONLINE,3,False,0,
9208,,,True,위대한개츠비와그의친구들,남정현,교양,,핵교,OFFLINE,3,False,1,화 3-6
9209,,,True,인간관계와리더십,홍혜연,교양,,핵교,OFFLINE,3,False,1,월 4-7
9210,,,True,인문으로수학읽기,이승재,교양,,핵교,OFFLINE,3,False,1,수 5.5-8.5
9211,,,True,인천의역사지형탐색,이상의,교양,,핵교,OFFLINE,3,False,1,수 2-5
9212,,,True,일리아스와오딧세이아에서아모르파티,송대현,교양,,핵교,OFFLINE,3,False,1,수 5.5-8.5
9213,,,True,일본어1,전혜수,교양,,핵교,OFFLINE,3,False,1,수 1-4
9214,,,True,일본어1,전혜수,교양,,핵교,OFFLINE,3,False,1,수 5-8
9215,,,True,일본어1,문인숙,교양,,핵교,OFFLINE,3,True,1,목 10-13
9216,,,True,일본어1,문인숙,교양,,핵교,OFFLINE,3,False,1,목 4-7
9217,,,True,중국어1,고은미,교양,,핵교,OFFLINE,3,False,1,금 1-4
9218,,,True,중국어1,안성재,교양,,핵교,OFFLINE,3,False,1,금 4-7
9219,,,True,중국어1,고은미,교양,,핵교,OFFLINE,3,False,1,금 5-8
9220,,,True,지역사회와사회공헌,이지혜,교양,,핵교,OFFLINE,1,False,1,화 7-9
9221,,,True,지역사회와사회공헌,이지혜,교양,,핵교,OFFLINE,1,True,1,월 10-12
9222,,,True,지역사회와사회공헌,이지혜,교양,,핵교,OFFLINE,1,True,1,화 10-12
9223,,,True,지역사회와사회공헌,이지혜,교양,,핵교,OFFLINE,1,True,1,수 10-12
9224,,,True,지역사회와사회공헌,이지혜,교양,,핵교,OFFLINE,1,True,1,목 10-12
9225,,,True,지역사회와사회공헌,이지혜,교양,,핵교,OFFLINE,1,True,1,금 10-12
9226,,,True,차라투스트라춤추는별이되어라,송대현,교양,,핵교,OFFLINE,3,False,1,월 7-10
9227,,,True,창의적사고와문제해결,양태연,교양,,핵교,OFFLINE,3,False,1,목 7-10
9228,,,True,초급영어글쓰기,김혜경,교양,,핵교,OFFLINE,2,False,1,목 5-7
9229,,,True,초급영어글쓰기,김혜경,교양,,핵교,OFFLINE,2,False,1,목 3-5
9230,,,True,초급평영,김민철,교양,,핵교,OFFLINE,1,False,1,수 6-8
9231,,,True,취창업진로세미나,취업경력개발원,교양,,핵교,OFFLINE,1,False,1,수 9-10
9232,,,True,취창업진로세미나,취업경력개발원,교양,,핵교,OFFLINE,1,False,1,수 8-9
9233,,,True,한국미술과문화,구진경,교양,,핵교,OFFLINE,3,False,1,월 4-7
9234,,,True,한국미술과문화,구진경,교양,,핵교,OFFLINE,3,False,1,월 7-10
9235,,,True,한국사의이해,박미선,교양,,핵교,OFFLINE,3,False,1,화 1-4
9236,,,True,한국사의이해,박미선,교양,,핵교,OFFLINE,3,False,1,화 4-7
9237,,,True,한국사의이해,이형우,교양,,핵교,OFFLINE,3,False,1,목 7-10
9238,,,True,현대과학의풍경읽기,정경숙,교양,,핵교,OFFLINE,3,False,1,화 7-10
9239,,,True,현대물리학의이해,김용철,교양,,핵교,OFFLINE,3,False,1,월 4-7
9240,,,True,현대물리학의이해,김용철,교양,,핵교,OFFLINE,3,False,1,월 7-10
9241,,,True,현대사회와빅데이터,양태연,교양,,핵교,OFFLINE,3,False,1,수 7-10
9242,,,True,현대사회와빅데이터,양태연,교양,,핵교,OFFLINE,3,False,1,수 3-6
9243,,,True,현대사회와빅데이터,양태연,교양,,핵교,OFFLINE,3,False,1,화 7-10
9244,,,True,현대정치의이해,송윤진,교양,,핵교,OFFLINE,3,True,1,수 10-13
9245,,,True,(이공계를위한)중국과학기술의10가지기적,이정희,교양,,심교,OFFLINE,3,False,1,화 1-4
9246,,,True,3D모션캡쳐와관련기술의적용,교육혁신본부,교양,,심교,ONLINE,1,False,0,
9247,,,True,AI로쉽게배우는R통계,김성연,교양,,심교,OFFLINE,3,False,1,금 7-10
9248,,,True,AI시대의데이터분석입문,황태준,교양,,심교,OFFLINE,3,False,1,목 2-5
9249,,,True,AI시대의데이터분석입문,황태준,교양,,심교,OFFLINE,3,False,1,화 2-5
9250,,,True,AI코딩을활용한창의적앱개발,추교남,교양,,심교,OFFLINE,3,False,1,목 5-8
9251,,,True,GOLF,양종현,교양,,심교,OFFLINE,1,False,1,수 3-5
9252,,,True,GOLF,이세원,교양,,심교,OFFLINE,1,False,1,화 7-9
9253,,,True,GOLF,이세원,교양,,심교,OFFLINE,1,False,1,수 7-9
9254,,,True,Introduction to Film and Media Studies,조지민,교양,,심교,OFFLINE,3,False,1,수 6-9
9255,,,True,Introductory College Writing,피터 래버,교양,,심교,OFFLINE,3,False,1,목 2-5
9256,,,True,K컨텐츠제작의실제,미배정,교양,,심교,OFFLINE,3,False,1,금 5-8
9257,,,True,K컨텐츠제작의실제,미배정,교양,,심교,OFFLINE,3,False,1,금 1-4
9258,,,True,K컬처와한국사상,교육혁신본부,교양,,심교,ONLINE,1,False,0,
9259,,,True,Language and Culture,조지민,교양,,심교,OFFLINE,3,False,1,수 1-4
9260,,,True,OTL론,서진완,교양,,심교,OFFLINE,3,False,1,화 5.5-8.5
9261,,,True,SPORTS CLIMBING,김인경,교양,,심교,OFFLINE,1,False,1,화 5-7
9262,,,True,SPORTS CLIMBING,김인경,교양,,심교,OFFLINE,1,False,1,화 2-4
9263,,,True,SPORTS CLIMBING,김인경,교양,,심교,OFFLINE,1,False,1,화 7-9
9264,,,True,StepbyStep피아노,김준희,교양,,심교,OFFLINE,1,False,1,수 8-10
9265,,,True,StepbyStep피아노,최정윤,교양,,심교,OFFLINE,1,False,1,목 6-8
9266,,,True,StepbyStep피아노,김준희,교양,,심교,OFFLINE,1,False,1,수 4-6
9267,,,True,StepbyStep피아노,허자현,교양,,심교,OFFLINE,1,False,1,화 4-6
9268,,,True,StepbyStep피아노,허자현,교양,,심교,OFFLINE,1,False,1,화 2-4
9269,,,True,StepbyStep피아노,최정윤,교양,,심교,OFFLINE,1,False,1,목 4-6
9270,,,True,Understanding Business,김경미,교양,,심교,ONLINE,3,False,0,
9271,,,True,WEIGHT TRAINING,미배정,교양,,심교,OFFLINE,1,False,1,목 4-6
9272,,,True,WEIGHT TRAINING,미배정,교양,,심교,OFFLINE,1,False,1,수 4-6
9273,,,True,검도,박영민,교양,,심교,OFFLINE,1,False,1,금 8-10
9274,,,True,검도,박영민,교양,,심교,OFFLINE,1,False,1,금 6-8
9275,,,True,결혼과가족,류민영,교양,,심교,OFFLINE,3,False,1,화 4-7
9276,,,True,결혼과가족,류민영,교양,,심교,OFFLINE,3,False,1,화 1-4
9277,,,True,경영데이터분석,강희재,교양,,심교,BLENDED,3,False,0,
9278,,,True,경이로운생명이야기,윤영준,교양,,심교,OFFLINE,3,False,1,목 4-7
9279,,,True,경이로운생명이야기,윤영준,교양,,심교,OFFLINE,3,False,1,목 7-10
9280,,,True,경제적자유를위한투자기술,유영태,교양,,심교,OFFLINE,3,False,1,월 7-10
9281,,,True,공공이슈와논쟁,채드 앤더슨,교양,,심교,OFFLINE,3,False,1,목 5.5-8.5
9282,,,True,공자의인성론과리더십,안성재,교양,,심교,OFFLINE,3,False,1,수 4-7
9283,,,True,과학기술사,정연철,교양,,심교,OFFLINE,3,False,1,월 4-7
9284,,,True,교과서에서만나지못한조선의역사,교육혁신본부,교양,,심교,ONLINE,1,False,0,
9285,,,True,국제질서의변화와한국의대응,송윤진,교양,,심교,OFFLINE,3,True,1,목 10-13
9286,,,True,글로벌실무영어,김연정,교양,,심교,OFFLINE,2,False,1,화 3-5
9287,,,True,글로벌인천스토리텔링,송승석,교양,,심교,OFFLINE,3,False,1,화 5.5-8.5
9288,,,True,기업가정신,창업지원단,교양,,심교,ONLINE,1,False,0,
