schedule_id,subject_id,subject_name,professor,department,grade,subject_type,day_of_week,start_time,end_time,duration
11420,9175,기초스페인어,문성주,교양,,핵교,월,2.0,5.0,3.0
11421,9176,기초프랑스어,김용민,교양,,핵교,목,5.5,8.5,3.0
11422,9177,기초프랑스어,이명은,교양,,핵교,수,6.0,9.0,3.0
11423,9178,기초프랑스어,이명은,교양,,핵교,수,10.0,13.0,3.0
11424,9179,기초프랑스어,김영은,교양,,핵교,금,1.0,4.0,3.0
11425,9180,문제해결을위한파이썬,이선아,교양,,핵교,월,6.0,9.0,3.0
11426,9181,문제해결을위한파이썬,김백현,교양,,핵교,수,7.0,10.0,3.0
11427,9182,문제해결을위한파이썬,김백현,교양,,핵교,화,6.0,9.0,3.0
11428,9183,문학과함께행복의길찾기,전미정,교양,,핵교,화,5.0,8.0,3.0
11429,9184,문학과함께행복의길찾기,전미정,교양,,핵교,월,5.0,8.0,3.0
11430,9185,문학욕망의윤리를말하다,최혜림,교양,,핵교,수,4.0,7.0,3.0
11431,9186,미래를바꾸는말한마디,안호림,교양,,핵교,화,7.0,10.0,3.0
11432,9187,미래를바꾸는말한마디,안호림,교양,,핵교,월,7.0,10.0,3.0
11433,9188,미학의이해,윤영규,교양,,핵교,수,2.0,5.0,3.0
11434,9189,미학의이해,윤영규,교양,,핵교,수,6.0,9.0,3.0
11435,9190,비판적사고력연습,이재유,교양,,핵교,목,10.0,13.0,3.0
11436,9191,비판적사고력연습,이재유,교양,,핵교,목,7.0,10.0,3.0
11437,9192,사회과학고전읽기,조형진,교양,,핵교,화,5.5,8.5,3.0
11438,9193,서양의역사와문화,안창모,교양,,핵교,목,7.0,10.0,3.0
11439,9194,서양의역사와문화,안창모,교양,,핵교,목,4.0,7.0,3.0
11440,9195,세계공연예술산책,정지호,교양,,핵교,화,2.5,5.5,3.0
11441,9196,세상의심장으로자신을브랜드하라,양근용,교양,,핵교,화,6.0,9.0,3.0
11442,9197,스피치와토론,안호림,교양,,핵교,월,10.0,13.0,3.0
11443,9198,심리학의이해,박준성,교양,,핵교,목,10.0,13.0,3.0
11444,9199,심리학의이해,서신화,교양,,핵교,화,7.0,10.0,3.0
11445,9200,심리학의이해,박준성,교양,,핵교,금,6.0,9.0,3.0
11446,9201,심리학의이해,서신화,교양,,핵교,월,4.0,7.0,3.0
11447,9202,심리학의이해,서신화,교양,,핵교,화,10.0,13.0,3.0
11448,9204,열린사회와다문화,정선주,교양,,핵교,수,1.0,4.0,3.0
11449,9205,열린사회와다문화,정선주,교양,,핵교,수,4.0,7.0,3.0
11450,9206,영화속바이러스의이해,예정용,교양,,핵교,화,1.0,4.0,3.0
11451,9208,위대한개츠비와그의친구들,남정현,교양,,핵교,화,3.0,6.0,3.0
11452,9209,인간관계와리더십,홍혜연,교양,,핵교,월,4.0,7.0,3.0
11453,9210,인문으로수학읽기,이승재,교양,,핵교,수,5.5,8.5,3.0
11454,9211,인천의역사지형탐색,이상의,교양,,핵교,수,2.0,5.0,3.0
11455,9212,일리아스와오딧세이아에서아모르파티,송대현,교양,,핵교,수,5.5,8.5,3.0
11456,9213,일본어1,전혜수,교양,,핵교,수,1.0,4.0,3.0
11457,9214,일본어1,전혜수,교양,,핵교,수,5.0,8.0,3.0
11458,9215,일본어1,문인숙,교양,,핵교,목,10.0,13.0,3.0
11459,9216,일본어1,문인숙,교양,,핵교,목,4.0,7.0,3.0
11460,9217,중국어1,고은미,교양,,핵교,금,1.0,4.0,3.0
11461,9218,중국어1,안성재,교양,,핵교,금,4.0,7.0,3.0
11462,9219,중국어1,고은미,교양,,핵교,금,5.0,8.0,3.0
11463,9220,지역사회와사회공헌,이지혜,교양,,핵교,화,7.0,9.0,2.0
11464,9221,지역사회와사회공헌,이지혜,교양,,핵교,월,10.0,12.0,2.0
11465,9222,지역사회와사회공헌,이지혜,교양,,핵교,화,10.0,12.0,2.0
11466,9223,지역사회와사회공헌,이지혜,교양,,핵교,수,10.0,12.0,2.0
11467,9224,지역사회와사회공헌,이지혜,교양,,핵교,목,10.0,12.0,2.0
11468,9225,지역사회와사회공헌,이지혜,교양,,핵교,금,10.0,12.0,2.0
11469,9226,차라투스트라춤추는별이되어라,송대현,교양,,핵교,월,7.0,10.0,3.0
11470,9227,창의적사고와문제해결,양태연,교양,,핵교,목,7.0,10.0,3.0
11471,9228,초급영어글쓰기,김혜경,교양,,핵교,목,5.0,7.0,2.0
11472,9229,초급영어글쓰기,김혜경,교양,,핵교,목,3.0,5.0,2.0
11473,9230,초급평영,김민철,교양,,핵교,수,6.0,8.0,2.0
11474,9231,취창업진로세미나,취업경력개발원,교양,,핵교,수,9.0,10.0,1.0
11475,9232,취창업진로세미나,취업경력개발원,교양,,핵교,수,8.0,9.0,1.0
11476,9233,한국미술과문화,구진경,교양,,핵교,월,4.0,7.0,3.0
11477,9234,한국미술과문화,구진경,교양,,핵교,월,7.0,10.0,3.0
11478,9235,한국사의이해,박미선,교양,,핵교,화,1.0,4.0,3.0
11479,9236,한국사의이해,박미선,교양,,핵교,화,4.0,7.0,3.0
11480,9237,한국사의이해,이형우,교양,,핵교,목,7.0,10.0,3.0
11481,9238,현대과학의풍경읽기,정경숙,교양,,핵교,화,7.0,10.0,3.0
11482,9239,현대물리학의이해,김용철,교양,,핵교,월,4.0,7.0,3.0
11483,9240,현대물리학의이해,김용철,교양,,핵교,월,7.0,10.0,3.0
11484,9241,현대사회와빅데이터,양태연,교양,,핵교,수,7.0,10.0,3.0
11485,9242,현대사회와빅데이터,양태연,교양,,핵교,수,3.0,6.0,3.0
11486,9243,현대사회와빅데이터,양태연,교양,,핵교,화,7.0,10.0,3.0
11487,9244,현대정치의이해,송윤진,교양,,핵교,수,10.0,13.0,3.0
11488,9245,(이공계를위한)중국과학기술의10가지기적,이정희,교양,,심교,화,1.0,4.0,3.0
11489,9247,AI로쉽게배우는R통계,김성연,교양,,심교,금,7.0,10.0,3.0
11490,9248,AI시대의데이터분석입문,황태준,교양,,심교,목,2.0,5.0,3.0
11491,9249,AI시대의데이터분석입문,황태준,교양,,심교,화,2.0,5.0,3.0
11492,9250,AI코딩을활용한창의적앱개발,추교남,교양,,심교,목,5.0,8.0,3.0
11493,9251,GOLF,양종현,교양,,심교,수,3.0,5.0,2.0
11494,9252,GOLF,이세원,교양,,심교,화,7.0,9.0,2.0
11495,9253,GOLF,이세원,교양,,심교,수,7.0,9.0,2.0
11496,9254,Introduction to Film and Media Studies,조지민,교양,,심교,수,6.0,9.0,3.0
11497,9255,Introductory College Writing,피터 래버,교양,,심교,목,2.0,5.0,3.0
11498,9256,K컨텐츠제작의실제,미배정,교양,,심교,금,5.0,8.0,3.0
11499,9257,K컨텐츠제작의실제,미배정,교양,,심교,금,1.0,4.0,3.0
11500,9259,Language and Culture,조지민,교양,,심교,수,1.0,4.0,3.0
11501,9260,OTL론,서진완,교양,,심교,화,5.5,8.5,3.0
11502,9261,SPORTS CLIMBING,김인경,교양,,심교,화,5.0,7.0,2.0
11503,9262,SPORTS CLIMBING,김인경,교양,,심교,화,2.0,4.0,2.0
11504,9263,SPORTS CLIMBING,김인경,교양,,심교,화,7.0,9.0,2.0
11505,9264,StepbyStep피아노,김준희,교양,,심교,수,8.0,10.0,2.0
11506,9265,StepbyStep피아노,최정윤,교양,,심교,목,6.0,8.0,2.0
11507,9266,StepbyStep피아노,김준희,교양,,심교,수,4.0,6.0,2.0
11508,9267,StepbyStep피아노,허자현,교양,,심교,화,4.0,6.0,2.0
11509,9268,StepbyStep피아노,허자현,교양,,심교,화,2.0,4.0,2.0
11510,9269,StepbyStep피아노,최정윤,교양,,심교,목,4.0,6.0,2.0
11511,9271,WEIGHT TRAINING,미배정,교양,,심교,목,4.0,6.0,2.0
11512,9272,WEIGHT TRAINING,미배정,교양,,심교,수,4.0,6.0,2.0
11513,9273,검도,박영민,교양,,심교,금,8.0,10.0,2.0
11514,9274,검도,박영민,교양,,심교,금,6.0,8.0,2.0
11515,9275,결혼과가족,류민영,교양,,심교,화,4.0,7.0,3.0
11516,9276,결혼과가족,류민영,교양,,심교,화,1.0,4.0,3.0
11517,9278,경이로운생명이야기,윤영준,교양,,심교,목,4.0,7.0,3.0
11518,9279,경이로운생명이야기,윤영준,교양,,심교,목,7.0,10.0,3.0
11519,9280,경제적자유를위한투자기술,유영태,교양,,심교,월,7.0,10.0,3.0
11520,9281,공공이슈와논쟁,채드 앤더슨,교양,,심교,목,5.5,8.5,3.0
11521,9282,공자의인성론과리더십,안성재,교양,,심교,수,4.0,7.0,3.0
11522,9283,과학기술사,정연철,교양,,심교,월,4.0,7.0,3.0
11523,9285,국제질서의변화와한국의대응,송윤진,교양,,심교,목,10.0,13.0,3.0
11524,9286,글로벌실무영어,김연정,교양,,심교,화,3.0,5.0,2.0
11525,9287,글로벌인천스토리텔링,송승석,교양,,심교,화,5.5,8.5,3.0
11526,9289,기초러시아어,강성희,교양,,심교,금,6.0,9.0,3.0
11527,9290,기초러시아어,강성희,교양,,심교,금,2.0,5.0,3.0
11528,9291,기초아랍어,김효정,교양,,심교,화,7.0,10.0,3.0
11529,9292,기타연주엘리트입문,조예리,교양,,심교,화,10.0,12.0,2.0
11530,9293,기타연주엘리트입문,권정구,교양,,심교,목,7.0,9.0,2.0
11531,9294,나로부터시작하는사회공헌,이영수,교양,,심교,목,11.0,13.0,2.0
11532,9295,나만의AI에이전트제작,김성연,교양,,심교,수,4.0,7.0,3.0
11533,9296,노자리더십의현대적해석,안성재,교양,,심교,월,4.0,7.0,3.0
11534,9297,노코드AI데이터분석실무,이선아,교양,,심교,목,2.0,5.0,3.0
11535,9298,녹색성장과환경,박찬진,교양,,심교,월,5.5,8.5,3.0
11536,9299,뉴스영어통역워크숍,박효진,교양,,심교,목,10.0,12.0,2.0
11537,9301,대중영어말하기,김정옥,교양,,심교,수,4.0,6.0,2.0
11538,9302,동물과인간사회,이종구,교양,,심교,목,5.0,8.0,3.0
